word,sentiment_score
කම්මැලියි,-1
අවුල් සහගතයි,-1
අභිප්රේරණය,0
නොකළ,-1
අතිමහත්,-1
ආතතිය ඇති කරයි,-1
වෙහෙසකරයි,-1
ඉල්ලනවා,-1
අනම්ය,-1
කලකිරීමයි,-1
නරක,-1
ඉතා නරකයි,-1
නරකම,-1
කලකිරීමයි,-1
අභයෝගාත්මක,-1
දුෂ්කර,-1
අවුල් සහගතයි,-1
අතිමහත්,-1
ආතති සහගතයි,-1
අධෛර්යමත් කරයි,-1
ආස්වාදයක් නැති,-1
කම්මැලියි,-1
පුනරාවර්තන,-1
ඒකාකාරී,-1
ඉල්ලනවා,-1
කාලය කා දමන,-1
බිය ගැන්වීම,-1
අසංවිධානාත්මක,-1
ආතතිය ඇති කරයි,-1
අනම්ය,-1
නොවේ,-1
වෙහෙසකරයි,-1
අධික ලෙස පටවා ඇත,-1
වෙන් වූ,-1
මර්දනකාරී,-1
අතිරික්ත,-1
එකතැන පල්වෙන,-1
බැහැර කරන,-1
අවධානය වෙනතකට යොමු කරයි,-1
අසමානයි,-1
ජලාපවහනය,-1
කුපිත කරයි,-1
විසන්ධි කිරීම,-1
බරයි,-1
අධෛර්යමත් කිරීම,-1
ප්රතිචාර නොදක්වයි,-1
අභියෝග රහිතයි,-1
විපාක නොදෙන,-1
අවුල් සහගතයි,-1
සහාය නොදක්වයි,-1
පුද්ගල නොවන,-1
කාලය නාස්ති කිරීම,-1
නොගැලපෙන,-1
සීමා සහිතයි,-1
දෝෂ සහිතයි,-1
අකාර්යක්ෂමයි,-1
නොගැඹුරු,-1
යල් පැන ගිය,-1
අවුල් සහගතයි,-1
සංකීර්ණයි,-1
විශ්වාස කළ නොහැකියි,-1
අනවබෝධය,-1
මිල අධිකයි,-1
ව්‍යුහගත නොකළ,-1
අදාල නැත,-1
මතුපිටින්,-1
ගැඹුරක් නොමැත,-1
අකාර්යක්ෂමයි,-1
තෘප්තිමත් නොවේ,-1
හුදකලා,-1
දෘඪ,-1
සහයෝගය නොමැතිකම,-1
මිල අධිකයි,-1
පරිශීලක-හිතකාමී නොවේ,-1
